time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
4.259999999999997,-13.4064961127,7.11202819339,24.6008869222,0.23622163911,0.522001622125,0.0,-10.2020373248,4.67516133278,3.11372163473,0.00197641068058,0.113249105611,0.0,510.73091241708954,512.7586807915335,509.12715161578694,511.51635307166237
4.279999999999997,-13.6113531284,7.20570232667,24.6621896722,0.236262174453,0.52427795232,0.0,-10.2836642408,4.69225199469,3.01655336671,0.00177569902226,0.113922843913,0.0,409.0433452090532,409.23599434002557,408.90967498273875,408.8559668383326
4.299999999999996,-13.8181990941,7.29985714024,24.7221314586,0.241760469378,0.526565742277,0.0,-10.4009323327,4.7232293622,2.97762527358,0.0165578246404,0.114533845674,0.0,473.2839347121778,473.43572788940645,473.6039806098987,477.003762620806
4.319999999999996,-14.0274229571,7.39464824802,24.7813283196,0.243816697026,0.529396481587,0.0,-10.5214539645,4.75588141586,2.94206082233,0.0248646198217,0.119181694194,0.0,479.54862158888517,480.61759063263617,478.01944240582253,479.9152442326721
4.339999999999995,-14.23884637,7.49000218593,24.8394419504,0.24668711756,0.531826343241,0.0,-10.6208873331,4.7795123758,2.86930225211,0.0346075724286,0.120541514327,0.0,440.6376010768295,440.98774735681735,440.1509649094836,442.5643667246804
4.359999999999995,-14.4524263754,7.58589630374,24.8963581714,0.247568368133,0.534383258876,0.0,-10.7371132068,4.80989940464,2.82231985033,0.0318573060818,0.118124198885,0.0,470.09748186668446,469.54725801418226,470.8947382720113,470.25625250637665
4.379999999999995,-14.6682049567,7.68234072847,24.9521074894,0.248291674026,0.538278509559,0.0,-10.8407449216,4.83454306803,2.75261195148,0.0300008603165,0.125954311798,0.0,445.8159769305376,447.7443776177317,447.1882386114515,446.73452707258684
4.399999999999994,-14.8861773882,7.77932178497,25.0066370496,0.249861814067,0.541679714116,0.0,-10.9564982276,4.86356258271,2.70034407051,0.0362302193034,0.120014216441,0.0,467.0592313645195,465.6804526769177,467.1982940276115,468.6538738459225
4.419999999999994,-15.1066777025,7.87696588622,25.0604409604,0.250773767523,0.544134008003,0.0,-11.0935331998,4.90084754228,2.68004701221,0.0389677296281,0.118544392531,0.0,502.3054626833688,501.9966498560733,500.99070589967243,501.5881024359289
4.439999999999993,-15.3296658577,7.97524642154,25.1134113446,0.25252076592,0.546518481492,0.0,-11.2052823233,4.92720598976,2.61699140306,0.0327463349149,0.119281566541,0.0,458.76555701266443,458.95332958720996,459.87319835371926,458.3925440256999
4.459999999999993,-15.5547733967,8.07400251331,25.1649162305,0.253177500018,0.550002604259,0.0,-11.3054715722,4.94840318686,2.53349718562,0.0324774557916,0.125910266071,0.0,436.2974861693803,437.96836684023737,437.55684134872405,437.49008095073003
4.479999999999992,-15.7820218812,8.17323237671,25.2149466138,0.253859552421,0.552696679654,0.0,-11.4193768853,4.97458315294,2.46954114781,0.0336176888779,0.128562586361,0.0,460.1002269493795,460.74381783239176,459.9720222232273,460.2432986638078
4.499999999999992,-16.0113834002,8.27291252381,25.2634174715,0.254605783152,0.55591222558,0.0,-11.5167750081,4.99343155771,2.37754462273,0.035336722953,0.133639176551,0.0,430.1388782522843,431.4429060786576,428.50464877835464,428.94350855572964
4.519999999999992,-16.2429413666,8.37306431484,25.3104148847,0.255332082016,0.560154829223,0.0,-11.6390216353,5.02174754526,2.32219669519,0.0344520895821,0.125714985457,0.0,473.1133801412808,471.2941239078161,471.3747054963577,471.16995832554227
